specimen s stands for single angle connected and d for double angle,Section size(mm),Type of section,connected leg(mm),Unconnected leg (length in mm),Connected leg thickness(mm),Unconnected leg thickness,Number of pitches,Number of guages,pitch distance(mm),Gauge distance,Edge distance of bolt (along load direction)(mm),Edge distance of bolt (perpendicular to load direction),number of bolts,Diameter of bolt hole,Yeild stress(mpa),Ultimate stress,ultimate load kN,"failure mode 0 = net, 1= block"
s1,102x102x6.4,S ,102,102,6.4,6.4,5,,76,63.5,38,38,6,24,300,450,512.8,1
s2,102x102x6.4,S ,102,102,6.4,6.4,5,,76,63.5,38,38,6,24,300,450,520.8,1
s3,102x102x6.4,S ,102,102,6.4,6.4,5,,76,63.5,38,38,6,24,300,450,487.1,1
s4,76x76x4.8,S ,76,76,4.8,4.8,5,,76,44.5,38,38,6,24,300,450,276.9,1
s5,102x102x6.4,S ,102,102,6.4,6.4,5,,76,63.5,38,38,6,24,300,450,446.4,1
s6,102x102x6.4,S ,102,102,6.4,6.4,5,,76,44.5,38,38,6,24,300,450,404.9,1
s7,102x102x6.4,S ,102,102,6.4,6.4,5,,76,63.5,38,38,6,24,300,450,432.9,1
s8,76x54x9.5,S ,76,54,9.5,9.5,5,,76,44.5,38,38,6,24,300,450,415.2,1
s9,76x76x4.8,S ,76,76,4.8,4.8,5,,76,44.5,38,38,6,24,300,450,233.5,1
s10,76x76x4.8,S ,76,76,4.8,4.8,3,,76,44.5,38,38,4,24,300,450,239.6,1
s11,76x76x4.8,S ,76,76,4.8,4.8,1,,76,44.5,38,38,2,24,300,450,198.4,1
d1-1,102x102x6.4,D ,102,102,6.4,6.4,5,,76,63.5,38,38,6,24,300,450,973.3,1
d1-2,102x102x6.4,D ,102,102,6.4,6.4,5,,76,63.5,38,38,6,24,300,450,997.2,1
d1-3,102x102x6.4,D ,102,102,6.4,6.4,5,,76,63.5,38,38,6,24,300,450,990,1
d2,76x76x4.8,D ,76,76,4.8,4.8,5,,76,44.5,38,38,6,24,300,450,492,1
d3-1,102x102x6.4,D ,102,102,6.4,6.4,5,,76,63.5,38,38,6,24,300,450,838,1
d3-2,102x102x6.4,D ,102,102,6.4,6.4,5,,76,63.5,38,38,6,24,300,450,85,1
d4-1,102x102x6.4,D ,102,102,6.4,6.4,5,,76,44.5,38,38,6,24,300,450,797.3,1
d4-2,102x102x6.4,D ,102,102,6.4,6.4,5,,76,44.5,38,38,6,24,300,450,782.1,1
d5,102x102x6.4,D ,102,102,6.4,6.4,5,,76,63.5,38,38,6,24,300,450,857.2,1
d6,76x51x9.5,D ,76,51,9.5,9.5,5,,76,44.5,38,38,6,24,300,450,814.8,1
d7,76x51x4.8,D ,76,51,4.8,4.8,5,,76,44.5,38,38,6,24,300,450,412.8,1
d8,76x51x4.8,D ,76,51,4.8,4.8,3,,76,44.5,38,38,4,24,300,450,439.4,1
d9,76x51x4.8,D ,76,51,4.8,4.8,1,,76,44.5,38,38,2,24,300,450,344.6,1
a1,6x4,S ,152.4,101.6,7.82,7.82,1,,76.2,101.6,63.5,50.8,2,27,346,490,362.1,0
a2,6x4,S ,152.4,101.6,7.52,7.52,1,,76.2,88.9,63.5,63.5,2,27,346,490,444.8,0
a3,6x4,S ,152.4,101.6,7.67,7.67,1,,76.2,76.2,63.5,76.2,2,27,346,490,500,0
wt1,7x11,T,177.8,247.8,5.66,5.66,1,1,76.2,12,63.5,50.8,2,27,335,463,264.7,0
wt2,7x11,T,177.8,247.8,5.54,5.54,1,1,76.2,114.3,63.5,63.5,2,27,335,463,311.8,0
wt3,7x11,T,177.8,247.8,5.49,5.49,1,1,76.2,101.6,63.5,76.2,2,27,335,463,345.2,0
wt4,7x11,T,177.8,247.8,5.66,5.66,2,1,76.2,114.3,63.5,63.5,3,27,335,463,379,0
wt5,7x11,T,177.8,247.8,5.66,5.66,2,1,76.2,101.2,63.5,76.2,3,27,335,463,427.5,0
wt6,7x11,T,177.8,247.8,5.59,5.59,2,1,76.2,88.9,63.5,88.9,3,27,335,463,491.1,0
wt7,7x11,T,177.8,247.8,5.44,5.44,3,1,76.2,114.3,63.5,63.5,4,27,335,463,452.8,0
wt8,7x11,T,177.8,247.8,5.54,5.54,3,1,76.2,101.6,63.5,76.2,4,27,335,463,520.4,0
wt9,7x11,T,177.8,247.8,5.66,5.66,3,1,76.2,88.9,63.5,88.9,4,27,335,463,578.2,0
w3,12x14,W,304.8,355.6,5.26,5.26,3,3,63.5,152.4,38.1,38.1,4,20.6,373,510.2,289.1,0
w7,12x14,W,304.8,355.6,5.26,5.26,3,3,63.5,152.4,31.8,31.8,4,20.6,387.5,526.1,280.2,0
w8,12x14,W,304.8,355.6,5.26,5.26,5,3,63.5,152.4,38.1,38.1,6,20.6,387.5,526.1,471.9,0
w9,12x14,W,304.8,355.6,5.28,5.28,3,3,63.5,76.2,50.8,50.8,4,20.6,387.5,526.1,347.4,0
w10,12x14,W,304.8,355.6,5.28,5.28,5,3,63.5,76.2,61,61,6,20.6,387.5,526.1,533.8,0
wt10,,T,133.85,105.1,10.16,6.35,1,1,66.67,69.85,96.15,32,2,23.81,332.32,493.66,,0
wt11,,T,166,102.3,11.81,7.23,1,1,66.67,88.9,77.1,77.1,2,23.81,332.32,493.66,,0
